algorithm,param,time,memory
BFS,,0.0009157657623291016,0
DFS,,0.0007102489471435547,0
DLS,2.0,0.0001709461212158203,0
DLS,3.0,0.0002105236053466797,0
DLS,4.0,0.000240325927734375,0
IDS,2.0,0.0002498626708984375,0
IDS,3.0,0.0004820823669433594,0
IDS,4.0,0.0006735324859619141,0
UCS,,0.0008695125579833984,0
ILS,,0.0018410682678222656,0
